종목코드,단축코드,표준코드,종목명,종목명_통합,한글 종목명,한글 종목약명,영문 종목명,시장구분,소속부,액면가,상장주식수,소속부.1,업종코드,업종명,결산월,지정자문인,자본금,통화구분,대표이사,대표전화,주소,상장일,증권구분,주식종류
000020,000020,KR7000020008,동화약품,동화약품,동화약품보통주,동화약품,DongwhaPharm,KOSPI,,1000,27931470.0,,32102.0,의약품 제조업,12.0,,27931470000.0,원(KRW),"유준하, 윤인호(각자 대표이사)",02-2021-9300,서울특별시 중구 서소문로9길 20 -,1976/03/24,주권,보통주
000040,000040,KR7000040006,KR모터스,KR모터스,KR모터스보통주,KR모터스,KR MOTORS,KOSPI,,500,86375184.0,,33109.0,그외 기타 운송장비 제조업,12.0,,43187592000.0,원(KRW),"정재경, 노성석 (각자 대표이사)",055-282-7011,경상남도 창원시 성산구 완암로 28 　,1976/05/25,주권,보통주
000050,000050,KR7000050005,경방,경방,경방보통주,경방,Kyungbang,KOSPI,,500,27415270.0,,74701.0,종합 소매업,12.0,,13707635000.0,원(KRW),"김준, 김담",02-2638-6000,서울특별시 영등포구 영중로 15 (영등포동 4가) ,1956/03/03,주권,보통주
000070,000070,KR7000070003,삼양홀딩스,삼양홀딩스,삼양홀딩스보통주,삼양홀딩스,SAMYANGHOLDINGS,KOSPI,,5000,8588329.0,,116409.0,기타 금융업,12.0,,44341645000.0,원(KRW),"엄태웅, 김경진",02-740-7114,서울특별시 종로구 종로33길 31 ,1968/12/27,주권,보통주
000080,000080,KR7000080002,하이트진로,하이트진로,하이트진로보통주,하이트진로,HITEJINRO,KOSPI,,5000,70133611.0,,31101.0,알코올음료 제조업,12.0,,368818745000.0,원(KRW),김인규,02-3219-0114,서울특별시 강남구 영동대로 714 ,2009/10/19,주권,보통주
,000087,KR7000082008,,하이트진로2우선주(신형),하이트진로2우선주(신형),하이트진로2우B,HITEJINRO(2PB),KOSPI,,5000,1130138.0,,,,,,,,,,,2011/09/26,주권,신형우선주
000100,000100,KR7000100008,유한양행,유한양행,유한양행보통주,유한양행,Yuhan,KOSPI,,1000,79968437.0,,32102.0,의약품 제조업,12.0,,81390004000.0,원(KRW),대표이사 조욱제,02-828-0181,서울특별시 동작구  노량진로 74 ,1962/11/01,주권,보통주
,000105,KR7000101006,,유한양행1우선주,유한양행1우선주,유한양행우,Yuhan(1P),KOSPI,,1000,1180940.0,,,,,,,,,,,1995/02/21,주권,구형우선주
000120,000120,KR7000120006,CJ대한통운,CJ대한통운,씨제이대한통운보통주,CJ대한통운,CJ LOGISTICS,KOSPI,,5000,22812344.0,,84903.0,도로 화물 운송업,12.0,,114061720000.0,원(KRW),"신영수, 민영학 (각자 대표)",02-3782-0114,서울특별시 종로구 종로5길 7(청진동) Tower 8 ,1956/07/02,주권,보통주
000140,000140,KR7000140004,하이트진로홀딩스,하이트진로홀딩스,하이트진로홀딩스보통주,하이트진로홀딩스,HITEJINROHOLDINGS,KOSPI,,5000,23206765.0,,116409.0,기타 금융업,12.0,,118387875000.0,원(KRW),김인규,02-520-3112,서울특별시 강남구  영동대로 714 ,1973/09/19,주권,보통주
,000145,KR7000141002,,하이트진로홀딩스1우선주,하이트진로홀딩스1우선주,하이트진로홀딩스우,HITEJINROHOLDINGS(1P),KOSPI,,5000,470810.0,,,,,,,,,,,1987/09/29,주권,구형우선주
000150,000150,KR7000150003,두산,두산,두산보통주,두산,DOOSAN,KOSPI,,5000,16523835.0,,116409.0,기타 금융업,12.0,,123738105000.0,원(KRW),"박정원, 김민철, 유승우",02-3398-0114,서울특별시 중구  장충단로 275 두산타원,1973/06/29,주권,보통주
,000155,KR7000151001,,두산1우선주,두산1우선주,두산우,DOOSAN(1P),KOSPI,,5000,3996462.0,,,,,,,,,,,1986/07/31,주권,구형우선주
,000157,KR7000152009,,두산2우선주(신형),두산2우선주(신형),두산2우B,DOOSAN(2PB),KOSPI,,5000,893038.0,,,,,,,,,,,1999/12/03,주권,신형우선주
000180,000180,KR7000180000,성창기업지주,성창기업지주,성창기업지주보통주,성창기업지주,SungchangEnterpriseHoldings,KOSPI,,500,69751600.0,,137105.0,회사 본부 및 경영 컨설팅 서비스업,12.0,,36000000000.0,원(KRW),우인석,051-260-3333,부산광역시 사하구  다대로 627 (다대동),1976/06/02,주권,보통주
000210,000210,KR7000210005,DL,DL,DL보통주,DL,DL,KOSPI,,5000,20955884.0,,32001.0,기초 화학물질 제조업,12.0,,138709995000.0,원(KRW),김종현,02-2011-7114,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",1976/02/02,주권,보통주
,000215,KR7000211003,,DL1우선주,DL1우선주,DL우,DL(1P),KOSPI,,5000,1686115.0,,,,,,,,,,,1989/08/21,주권,구형우선주
000220,000220,KR7000220004,유유제약,유유제약,유유제약보통주,유유제약,YuyuPharma,KOSPI,,1000,17032351.0,,32102.0,의약품 제조업,12.0,,20201681000.0,원(KRW),"유원상, 박노용(각자대표)",043-652-7981,충청북도 제천시  바이오밸리1로 94 ,1975/11/18,주권,보통주
,000225,KR7000221002,,유유제약1우선주,유유제약1우선주,유유제약1우,YuyuPharma(1P),KOSPI,,1000,2266930.0,,,,,,,,,,,1990/01/05,주권,구형우선주
,000227,KR7000222000,,유유제약2우선주(신형),유유제약2우선주(신형),유유제약2우B,YuyuPharma(2PB),KOSPI,,1000,325560.0,,,,,,,,,,,2000/06/20,주권,신형우선주
000230,000230,KR7000230003,일동홀딩스,일동홀딩스,일동홀딩스보통주,일동홀딩스,ILDONG HOLDINGS,KOSPI,,1000,11540400.0,,32102.0,의약품 제조업,12.0,,11540400000.0,원(KRW),박대창,02-526-3114,서울특별시 서초구  바우뫼로27길 2 일동제약빌딩,1975/06/28,주권,보통주
000240,000240,KR7000240002,한국앤컴퍼니,한국앤컴퍼니,한국앤컴퍼니보통주,한국앤컴퍼니,HANKOOK & COMPANY,KOSPI,,500,94935240.0,,116409.0,기타 금융업,12.0,,47467620000.0,원(KRW),"조현범, 박종호(각자 대표이사)",031-5178-7000,경기도 성남시 분당구 판교로 286 -,1968/12/27,주권,보통주
000250,000250,KR7000250001,삼천당제약,삼천당제약,삼천당제약,삼천당제약,SAM CHUN DANG PHARM CO. LTD,KOSDAQ,중견기업부,500,23457472.0,,32102.0,의약품 제조업,12.0,,11728736000.0,원(KRW),전인석,02-2046-1100,경기도 화성시 향남읍 제약공단2길 71 ,2000/10/04,주권,보통주
000270,000270,KR7000270009,기아,기아,기아보통주,기아,KIA CORPORATION,KOSPI,,5000,393789270.0,,33001.0,자동차용 엔진 및 자동차 제조업,12.0,,2139316735000.0,원(KRW),"송호성,최준영(각자 대표이사)",02-3464-1114,서울특별시 서초구 헌릉로 12 기아자동차,1973/07/21,주권,보통주
000300,000300,KR7000300004,DH오토넥스,DH오토넥스,디에이치오토넥스보통주,DH오토넥스,DHAUTONEX,KOSPI,,500,82129188.0,,33003.0,자동차 신품 부품 제조업,12.0,,41064594000.0,원(KRW),최준용,031-737-7000,전북특별자치도 김제시 용지면 용지로 55 김제(본사),1975/06/09,주권,보통주
000320,000320,KR7000320002,노루홀딩스,노루홀딩스,노루홀딩스보통주,노루홀딩스,NorooHoldings,KOSPI,,500,13291151.0,,116409.0,기타 금융업,12.0,,8529355000.0,원(KRW),한영재,02-2191-7700,경기도 안양시 만안구  박달로 351 ,1973/08/10,주권,보통주
,000325,KR7000321000,,노루홀딩스1우선주,노루홀딩스1우선주,노루홀딩스우,NorooHoldings(1P),KOSPI,,500,243559.0,,,,,,,,,,,1989/01/21,주권,구형우선주
000370,000370,KR7000370007,한화손해보험,한화손해보험,한화손해보험보통주,한화손해보험,"Hanwha General Insurance Co.,Ltd.",KOSPI,,5000,116738915.0,,116501.0,보험업,12.0,,583694575000.0,원(KRW),나채범,02-1566-8000,서울특별시 영등포구  여의대로 56 한화손해보험(주),1975/06/30,주권,보통주
000390,000390,KR7000390005,삼화페인트,삼화페인트,삼화페인트공업보통주,삼화페인트,SamhwaPaintIndustrial,KOSPI,,500,27203469.0,,32004.0,기타 화학제품 제조업,12.0,,13601734500.0,원(KRW),"류기붕,배맹달(각자대표)",031-499-0394-6,경기도 안산시 단원구  별망로 178 ,1993/09/10,주권,보통주
000400,000400,KR7000400002,롯데손해보험,롯데손해보험,롯데손해보험보통주,롯데손해보험,LotteNon-LifeInsurance,KOSPI,,1000,310336320.0,,116501.0,보험업,12.0,,310336320000.0,원(KRW),이은호,02-1588-3344,서울특별시 중구  소월로 3 롯데손해보험빌딩 ,1971/04/16,주권,보통주
000430,000430,KR7000430009,대원강업,대원강업,대원강업보통주,대원강업,DaewonKangup,KOSPI,,500,62000000.0,,33003.0,자동차 신품 부품 제조업,12.0,,31000000000.0,원(KRW),"박민희, 김항수",041-520-7583,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사,1977/06/22,주권,보통주
000440,000440,KR7000440008,중앙에너비스,중앙에너비스,중앙에너비스,중앙에너비스,"Joong Ang Enervis Co.,Ltd.",KOSDAQ,중견기업부,500,6227130.0,,74607.0,기타 전문 도매업,12.0,,3113565000.0,원(KRW),"한상열, 한상은 (각자 대표이사)",070-8707-4500,서울특별시 용산구  한남대로 82 ,1993/03/24,주권,보통주
000480,000480,KR7000480004,CR홀딩스,CR홀딩스,시알홀딩스보통주,CR홀딩스,CR Holdings,KOSPI,,500,46890490.0,,32302.0,"내화, 비내화 요업제품 제조업",12.0,,23445245000.0,원(KRW),강문수,02-6966-3090,전라남도 광양시 산업로 55 본관 3층,1978/06/30,주권,보통주
000490,000490,KR7000490003,대동,대동,대동보통주,대동,DAEDONG CORPORATION,KOSPI,,1000,26392658.0,,32902.0,특수 목적용 기계 제조업,12.0,,26392658000.0,원(KRW),"김준식, 원유현",053-610-3000,대구광역시 달성군 논공읍 논공중앙로34길 35 35,1975/06/27,주권,보통주
0004Y0,0004Y0,KR70004Y0000,디비금융제14호스팩,디비금융제14호스팩,디비금융제14호기업인수목적,디비금융제14호스팩,"DB Finance No.14 Special Purpose Acquisition Co., Ltd.",KOSDAQ,SPAC(소속부없음),100,5315000.0,,116409.0,기타 금융업,12.0,,531500000.0,원(KRW),황선국,02-369-3957,서울특별시 영등포구 국제금융로8길 32 ,2025/07/22,주권,보통주
000500,000500,KR7000500009,가온전선,가온전선,가온전선보통주,가온전선,GAONCABLE,KOSPI,,5000,16543115.0,,32803.0,절연선 및 케이블 제조업,12.0,,82715575000.0,원(KRW),정 현,031-8068-3928,경기도 군포시  엘에스로45번길 120 ,1987/06/08,주권,보통주
000520,000520,KR7000520007,삼일제약,삼일제약,삼일제약보통주,삼일제약,SamilPharmaceutical,KOSPI,,500,21691811.0,,32102.0,의약품 제조업,12.0,,10845905500.0,원(KRW),허승범,02-520-0300,"서울특별시 서초구  효령로 155 (방배동, 삼일제약 사옥)",1985/05/29,주권,보통주
000540,000540,KR7000540005,흥국화재,흥국화재,흥국화재해상보험보통주,흥국화재,HeungkukFire&MarineInsurance,KOSPI,,5000,64242645.0,,116501.0,보험업,12.0,,325053225000.0,원(KRW),송윤상,02-2002-6000,서울특별시 종로구 새문안로 68 ,1974/12/05,주권,보통주
,000545,KR7000541003,,흥국화재해상보험1우선주,흥국화재해상보험1우선주,흥국화재우,HeungkukFire&MarineIns(1P),KOSPI,,5000,768000.0,,,,,,,,,,,1990/03/20,주권,구형우선주
000590,000590,KR7000590000,CS홀딩스,CS홀딩스,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,KOSPI,,5000,1154482.0,,116409.0,기타 금융업,12.0,,5772410000.0,원(KRW),장원영,02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),1975/12/22,주권,보통주
000640,000640,KR7000640003,동아쏘시오홀딩스,동아쏘시오홀딩스,동아쏘시오홀딩스보통주,동아쏘시오홀딩스,Dong-A Socio Holdings,KOSPI,,5000,6536434.0,,116409.0,기타 금융업,12.0,,32682170000.0,원(KRW),김민영,02-920-8114,서울특별시 동대문구  천호대로 64 ,1970/02/10,주권,보통주
000650,000650,KR7000650002,천일고속,천일고속,천일고속보통주,천일고속,ChunilExpress,KOSPI,,5000,1429220.0,,84902.0,육상 여객 운송업,12.0,,7146100000.0,원(KRW),박도현,051-254-9111,부산광역시 동구 중앙대로 168(초량동) ,1977/06/23,주권,보통주
000660,000660,KR7000660001,SK하이닉스,SK하이닉스,에스케이하이닉스보통주,SK하이닉스,SK hynix,KOSPI,,5000,728002365.0,,32601.0,반도체 제조업,12.0,,3657652050000.0,원(KRW),곽노정,031-630-4114,경기도 이천시  부발읍 경충대로 2091 ,1996/12/26,주권,보통주
000670,000670,KR7000670000,영풍,영풍,영풍보통주,영풍,Youngpoong,KOSPI,,500,19108450.0,,32402.0,1차 비철금속 제조업,12.0,,9554225000.0,원(KRW),김기호,02-519-3314,서울특별시 강남구  강남대로 542 ,1976/06/12,주권,보통주
000680,000680,KR7000680009,LS네트웍스,LS네트웍스,LS네트웍스보통주,LS네트웍스,LSNetworks,KOSPI,,5000,78803016.0,,74608.0,상품 종합 도매업,12.0,,394015080000.0,원(KRW),문성준,02-799-7114,"경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)",1973/11/15,주권,보통주
000700,000700,KR7000700005,유수홀딩스,유수홀딩스,유수홀딩스보통주,유수홀딩스,EUSU HOLDINGS,KOSPI,,2500,26041812.0,,137105.0,회사 본부 및 경영 컨설팅 서비스업,12.0,,65104530000.0,원(KRW),송영규,02-6716-3000,"서울특별시 영등포구 여의나루로 60 9층 (여의도동, 포스트타워)",1956/03/03,주권,보통주
000720,000720,KR7000720003,현대건설,현대건설,현대건설보통주,현대건설,HyundaiEngineering&Construction,KOSPI,,5000,111355765.0,,64102.0,토목 건설업,12.0,,562052290000.0,원(KRW),이한우,02-746-1114,서울특별시 종로구  율곡로 75 ,1984/12/22,주권,보통주
,000725,KR7000721001,,현대건설1우선주,현대건설1우선주,현대건설우,HyundaiEngineering&Construction(1P),KOSPI,,5000,1054693.0,,,,,,,,,,,1989/09/21,주권,구형우선주
000760,000760,KR7000760009,이화산업,이화산업,이화산업보통주,이화산업,RIFA,KOSPI,,5000,2800000.0,,74607.0,기타 전문 도매업,12.0,,14000000000.0,원(KRW),홍성우,02-2007-5555,서울특별시 중구 삼일대로 299 (충무로2가) ,1994/04/29,주권,보통주
000810,000810,KR7000810002,삼성화재,삼성화재,삼성화재해상보험보통주,삼성화재,SamsungFire&MarineInsurance,KOSPI,,500,46011155.0,,116501.0,보험업,12.0,,26473418500.0,원(KRW),이문화,02-1588-5114,서울특별시 서초구 서초대로74길 14 (서초동),1975/06/30,주권,보통주
,000815,KR7000811000,,삼성화재해상보험1우선주,삼성화재해상보험1우선주,삼성화재우,SamsungFire&MarineInsurance(1P),KOSPI,,500,3099510.0,,,,,,,,,,,1990/04/10,주권,구형우선주
000850,000850,KR7000850008,화천기공,화천기공,화천기공보통주,화천기공,HwacheonMachineTool,KOSPI,,5000,2200000.0,,32902.0,특수 목적용 기계 제조업,12.0,,11000000000.0,원(KRW),"권형석, 권형도(공동대표이사)",062-951-5111,광주광역시 광산구 하남산단4번로 123-17 (장덕동) 화천기공(주),1999/11/18,주권,보통주
000860,000860,KR7000860007,강남제비스코,강남제비스코,강남제비스코보통주,강남제비스코,KANGNAM JEVISCO,KOSPI,,500,13000000.0,,32004.0,기타 화학제품 제조업,12.0,,6500000000.0,원(KRW),"황익준,김재현(각자대표이사)",051-892-4221,"부산광역시 부산진구 중앙대로 639 18층(범천동, 엠디엠타워)",1975/11/12,주권,보통주
000880,000880,KR7000880005,한화,한화,한화보통주,한화,Hanwha,KOSPI,,5000,74958735.0,,32004.0,기타 화학제품 제조업,12.0,,471815880000.0,원(KRW),"김동관, 류두형",02-729-1114,서울특별시 중구  청계천로 86 24층,1976/06/24,주권,보통주
,00088K,KR700088K015,,한화3우선주(신형),한화3우선주(신형),한화3우B,HANWHA(3PB),KOSPI,,5000,19404441.0,,,,,,,,,,,2016/10/19,주권,신형우선주
000890,000890,KR7000890004,보해양조,보해양조,보해양조보통주,보해양조,BohaeBrewery,KOSPI,,500,139120129.0,,31101.0,알코올음료 제조업,12.0,,69560064500.0,원(KRW),조영석,061-243-3141,전라남도 목포시  호남로68번길 36 보해양조(주),1988/09/23,주권,보통주
0008Z0,0008Z0,KR70008Z0005,에스엔시스,에스엔시스,에스엔시스,에스엔시스,"S&SYS CO.,LTD",KOSDAQ,벤처기업부,500,9436564.0,,32801.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",12.0,,4914166500.0,원(KRW),배재혁,031-229-1077,"경기도 화성시 동탄순환대로 830 (영천동, 동탄SKV1center) 7층 ",2025/08/19,주권,보통주
000910,000910,KR7000910000,유니온,유니온,유니온보통주,유니온,Union,KOSPI,,500,15611619.0,,32303.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",12.0,,7805809500.0,원(KRW),"이건영, 이우선",02-3455-8793,서울특별시 중구  소공로 94 OCI빌딩 13층,1996/07/03,주권,보통주
000950,000950,KR7000950006,전방,전방,전방보통주,전방,Chonbang,KOSPI,,5000,1680000.0,,31301.0,방적 및 가공사 제조업,12.0,,8400000000.0,원(KRW),조덕현,02-2122-6000,"서울특별시 서대문구  서소문로 21 (충정로3가, 충정타워)",1968/10/21,주권,보통주
000970,000970,KR7000970004,한국주철관,한국주철관,한국주철관공업보통주,한국주철관,KoreaCastIronPipeInd,KOSPI,,500,22800500.0,,32401.0,1차 철강 제조업,12.0,,12000000000.0,원(KRW),"김태형, 이창훈, 김영훈 (각자대표제)",051-291-5481-5,부산광역시 사하구  을숙도대로 525 ,1969/12/12,주권,보통주
000990,000990,KR7000990002,DB하이텍,DB하이텍,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",KOSPI,,5000,43504588.0,,32601.0,반도체 제조업,12.0,,221992940000.0,원(KRW),조기석,02-3484-2888,경기도 부천시 수도로 90 (주)DB하이텍,1975/12/12,주권,보통주
001000,001000,KR7001000009,신라섬유,신라섬유,신라섬유,신라섬유,SillaTextile,KOSDAQ,중견기업부,100,24277540.0,,126801.0,부동산 임대 및 공급업,12.0,,2427754000.0,원(KRW),박재흥,053-960-1117,대구 동구 각산동 291-1 ,1994/06/28,주권,보통주
001020,001020,KR7001020007,페이퍼코리아,페이퍼코리아,페이퍼코리아보통주,페이퍼코리아,PaperCorea Inc.,KOSPI,,500,177983313.0,,31701.0,"펄프, 종이 및 판지 제조업",12.0,,88991656500.0,원(KRW),문성운,063-440-5000,전라북도 군산시 외항로 1245 페이퍼코리아(주),1976/06/26,주권,보통주
001040,001040,KR7001040005,CJ,CJ,CJ보통주,CJ,CJ Corp.,KOSPI,,5000,29176998.0,,116409.0,기타 금융업,12.0,,179047370000.0,원(KRW),"손경식, 김홍기",02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) ",1973/06/29,주권,보통주
,001045,KR7001041003,,CJ1우선주,CJ1우선주,CJ우,CJ(1P),KOSPI,,5000,2260223.0,,,,,,,,,,,1989/08/18,주권,구형우선주
,00104K,KR700104K010,,CJ4우선주(전환),CJ4우선주(전환),CJ4우(전환),CJ(4PC),KOSPI,,5000,4226512.0,,,,,,,,,,,2019/08/09,주권,신형우선주
001060,001060,KR7001060003,JW중외제약,JW중외제약,JW중외제약보통주,JW중외제약,JWPHARMACEUTICAL,KOSPI,,2500,23285930.0,,32102.0,의약품 제조업,12.0,,59594635000.0,원(KRW),대표이사 신영섭,02-840-6777,경기도 과천시 과천대로7길 38 - ,1976/06/14,주권,보통주
,001065,KR7001061001,,JW중외제약1우선주,JW중외제약1우선주,JW중외제약우,JWPHARMACEUTICAL(1P),KOSPI,,2500,341951.0,,,,,,,,,,,1994/10/21,주권,구형우선주
,001067,KR7001062009,,JW중외제약2우선주(신형),JW중외제약2우선주(신형),JW중외제약2우B,JWPHARMACEUTICAL(2PB),KOSPI,,2500,209973.0,,,,,,,,,,,1998/04/13,주권,신형우선주
001070,001070,KR7001070002,대한방직,대한방직,대한방직보통주,대한방직,TaihanTextile,KOSPI,,1000,5300000.0,,31302.0,직물직조 및 직물제품 제조업,12.0,,5300000000.0,원(KRW),"설 범, 김 인호",02-368-0114,"서울특별시 중구 중림로 48 (중림동, 성준빌딩)",1973/12/28,주권,보통주
